Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
3551763	103601000000109	Kashmiri - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551764	103611000000106	East African Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551765	103621000000100	Sri Lankan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551766	103631000000103	Tamil - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551767	103641000000107	Sinhalese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551768	103651000000105	Caribbean Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551769	103661000000108	British Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551770	103671000000101	Mixed Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551771	103681000000104	Other Asian or Asian unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551772	103691000000102	Caribbean - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551773	103701000000102	African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551774	103711000000100	Other Black background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551775	103721000000106	Somali - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551776	103731000000108	Nigerian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551777	103741000000104	Black British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551778	103751000000101	Mixed Black - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551779	103761000000103	Other Black or Black unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
